document,element,Frequency
1990,Acute_hepatitis,166343
1990,Alcohol_use_disorders,116390
1990,Alzheimer_s_disease_and_other_dementias,560616
1990,Cardiovascular_diseases,12062179
1990,Chronic_kidney_disease,600925
1990,Chronic_respiratory_diseases,3092759
1990,Cirrhosis_and_other_chronic_liver_diseases,1012423
1990,Conflict_and_terrorism,116286
1990,Diabetes_mellitus,661085
1990,Diarrheal_diseases,2894957
1990,Digestive_diseases,1854392
1990,Drowning,460460
1990,Drug_use_disorders,56133
1990,Environmental_heat_and_cold_exposure,55072
1990,Exposure_to_forces_of_nature,50216
1990,Fire__heat__and_hot_substances,123123
1990,HIV_AIDS,336059
1990,Interpersonal_violence,372497
1990,Lower_respiratory_infections,3318264
1990,Malaria,840297
1990,Maternal_disorders,302419
1990,Meningitis,432253
1990,Neonatal_disorders,3004581
1990,Neoplasms,5752596
1990,Nutritional_deficiencies,756808
1990,Parkinson_s_disease,147156
1990,Poisonings,87951
1990,Protein_energy_malnutrition,655975
1990,Road_injuries_,1112770
1990,Self_harm,738804
1990,Tuberculosis,1776727
1991,Acute_hepatitis,165276
1991,Alcohol_use_disorders,122478
1991,Alzheimer_s_disease_and_other_dementias,583166
1991,Cardiovascular_diseases,12220282
1991,Chronic_kidney_disease,613589
1991,Chronic_respiratory_diseases,3148288
1991,Cirrhosis_and_other_chronic_liver_diseases,1026870
1991,Conflict_and_terrorism,85017
1991,Diabetes_mellitus,679630
1991,Diarrheal_diseases,2903085
1991,Digestive_diseases,1877515
1991,Drowning,454375
1991,Drug_use_disorders,61890
1991,Environmental_heat_and_cold_exposure,56658
1991,Exposure_to_forces_of_nature,156552
1991,Fire__heat__and_hot_substances,123941
1991,HIV_AIDS,430725
1991,Interpersonal_violence,383689
1991,Lower_respiratory_infections,3282941
1991,Malaria,858984
1991,Maternal_disorders,298271
1991,Meningitis,428621
1991,Neonatal_disorders,2975087
1991,Neoplasms,5867965
1991,Nutritional_deficiencies,729145
1991,Parkinson_s_disease,150875
1991,Poisonings,87813
1991,Protein_energy_malnutrition,631013
1991,Road_injuries_,1117024
1991,Self_harm,752575
1991,Tuberculosis,1786389
1992,Acute_hepatitis,163687
1992,Alcohol_use_disorders,131665
1992,Alzheimer_s_disease_and_other_dementias,605894
1992,Cardiovascular_diseases,12437979
1992,Chronic_kidney_disease,630160
1992,Chronic_respiratory_diseases,3207816
1992,Cirrhosis_and_other_chronic_liver_diseases,1042953
1992,Conflict_and_terrorism,62063
1992,Diabetes_mellitus,702253
1992,Diarrheal_diseases,2871809
1992,Digestive_diseases,1903759
1992,Drowning,447056
1992,Drug_use_disorders,66826
1992,Environmental_heat_and_cold_exposure,59926
1992,Exposure_to_forces_of_nature,12030
1992,Fire__heat__and_hot_substances,124995
1992,HIV_AIDS,540070
1992,Interpersonal_violence,407176
1992,Lower_respiratory_infections,3258792
1992,Malaria,856415
1992,Maternal_disorders,299300
1992,Meningitis,426440
1992,Neonatal_disorders,2950376
1992,Neoplasms,5996098
1992,Nutritional_deficiencies,700664
1992,Parkinson_s_disease,154886
1992,Poisonings,88435
1992,Protein_energy_malnutrition,606015
1992,Road_injuries_,1125566
1992,Self_harm,770286
1992,Tuberculosis,1807740
1993,Acute_hepatitis,161899
1993,Alcohol_use_disorders,143901
1993,Alzheimer_s_disease_and_other_dementias,629571
1993,Cardiovascular_diseases,12802108
1993,Chronic_kidney_disease,647255
1993,Chronic_respiratory_diseases,3266612
1993,Cirrhosis_and_other_chronic_liver_diseases,1067730
1993,Conflict_and_terrorism,62733
1993,Diabetes_mellitus,728077
1993,Diarrheal_diseases,2798615
1993,Digestive_diseases,1939556
1993,Drowning,445434
1993,Drug_use_disorders,71603
1993,Environmental_heat_and_cold_exposure,66812
1993,Exposure_to_forces_of_nature,21369
1993,Fire__heat__and_hot_substances,127493
1993,HIV_AIDS,664463
1993,Interpersonal_violence,432858
1993,Lower_respiratory_infections,3226972
1993,Malaria,862216
1993,Maternal_disorders,293564
1993,Meningitis,420836
1993,Neonatal_disorders,2924485
1993,Neoplasms,6167069
1993,Nutritional_deficiencies,674219
1993,Parkinson_s_disease,160249
1993,Poisonings,90036
1993,Protein_energy_malnutrition,583919
1993,Road_injuries_,1137444
1993,Self_harm,791904
1993,Tuberculosis,1774711
1994,Acute_hepatitis,159423
1994,Alcohol_use_disorders,153859
