document,element,frequency_in_document
1990,Acute_hepatitis,166343.0
1990,Alcohol_use_disorders,116390.0
1990,Alzheimer_s_disease_and_other_dementias,560616.0
1990,Cardiovascular_diseases,12062179.0
1990,Chronic_kidney_disease,600925.0
1990,Chronic_respiratory_diseases,3092759.0
1990,Cirrhosis_and_other_chronic_liver_diseases,1012423.0
1990,Conflict_and_terrorism,116286.0
1990,Diabetes_mellitus,661085.0
1990,Diarrheal_diseases,2894957.0
1990,Digestive_diseases,1854392.0
1990,Drowning,460460.0
1990,Drug_use_disorders,56133.0
1990,Environmental_heat_and_cold_exposure,55072.0
1990,Exposure_to_forces_of_nature,50216.0
1990,Fire__heat__and_hot_substances,123123.0
1990,HIV_AIDS,336059.0
1990,Interpersonal_violence,372497.0
1990,Lower_respiratory_infections,3318264.0
1990,Malaria,840297.0
1990,Maternal_disorders,302419.0
1990,Meningitis,432253.0
1990,Neonatal_disorders,3004581.0
1990,Neoplasms,5752596.0
1990,Nutritional_deficiencies,756808.0
1990,Parkinson_s_disease,147156.0
1990,Poisonings,87951.0
1990,Protein_energy_malnutrition,655975.0
1990,Road_injuries_,1112770.0
1990,Self_harm,738804.0
1990,Tuberculosis,1776727.0
1991,Acute_hepatitis,165276.0
1991,Alcohol_use_disorders,122478.0
1991,Alzheimer_s_disease_and_other_dementias,583166.0
1991,Cardiovascular_diseases,12220282.0
1991,Chronic_kidney_disease,613589.0
1991,Chronic_respiratory_diseases,3148288.0
1991,Cirrhosis_and_other_chronic_liver_diseases,1026870.0
1991,Conflict_and_terrorism,85017.0
1991,Diabetes_mellitus,679630.0
1991,Diarrheal_diseases,2903085.0
1991,Digestive_diseases,1877515.0
1991,Drowning,454375.0
1991,Drug_use_disorders,61890.0
1991,Environmental_heat_and_cold_exposure,56658.0
1991,Exposure_to_forces_of_nature,156552.0
1991,Fire__heat__and_hot_substances,123941.0
1991,HIV_AIDS,430725.0
1991,Interpersonal_violence,383689.0
1991,Lower_respiratory_infections,3282941.0
1991,Malaria,858984.0
1991,Maternal_disorders,298271.0
1991,Meningitis,428621.0
1991,Neonatal_disorders,2975087.0
1991,Neoplasms,5867965.0
1991,Nutritional_deficiencies,729145.0
1991,Parkinson_s_disease,150875.0
1991,Poisonings,87813.0
1991,Protein_energy_malnutrition,631013.0
1991,Road_injuries_,1117024.0
1991,Self_harm,752575.0
1991,Tuberculosis,1786389.0
1992,Acute_hepatitis,163687.0
1992,Alcohol_use_disorders,131665.0
1992,Alzheimer_s_disease_and_other_dementias,605894.0
1992,Cardiovascular_diseases,12437979.0
1992,Chronic_kidney_disease,630160.0
1992,Chronic_respiratory_diseases,3207816.0
1992,Cirrhosis_and_other_chronic_liver_diseases,1042953.0
1992,Conflict_and_terrorism,62063.0
1992,Diabetes_mellitus,702253.0
1992,Diarrheal_diseases,2871809.0
1992,Digestive_diseases,1903759.0
1992,Drowning,447056.0
1992,Drug_use_disorders,66826.0
1992,Environmental_heat_and_cold_exposure,59926.0
1992,Exposure_to_forces_of_nature,12030.0
1992,Fire__heat__and_hot_substances,124995.0
1992,HIV_AIDS,540070.0
1992,Interpersonal_violence,407176.0
1992,Lower_respiratory_infections,3258792.0
1992,Malaria,856415.0
1992,Maternal_disorders,299300.0
1992,Meningitis,426440.0
1992,Neonatal_disorders,2950376.0
1992,Neoplasms,5996098.0
1992,Nutritional_deficiencies,700664.0
1992,Parkinson_s_disease,154886.0
1992,Poisonings,88435.0
1992,Protein_energy_malnutrition,606015.0
1992,Road_injuries_,1125566.0
1992,Self_harm,770286.0
1992,Tuberculosis,1807740.0
1993,Acute_hepatitis,161899.0
1993,Alcohol_use_disorders,143901.0
1993,Alzheimer_s_disease_and_other_dementias,629571.0
1993,Cardiovascular_diseases,12802108.0
1993,Chronic_kidney_disease,647255.0
1993,Chronic_respiratory_diseases,3266612.0
1993,Cirrhosis_and_other_chronic_liver_diseases,1067730.0
1993,Conflict_and_terrorism,62733.0
1993,Diabetes_mellitus,728077.0
1993,Diarrheal_diseases,2798615.0
1993,Digestive_diseases,1939556.0
1993,Drowning,445434.0
1993,Drug_use_disorders,71603.0
1993,Environmental_heat_and_cold_exposure,66812.0
1993,Exposure_to_forces_of_nature,21369.0
1993,Fire__heat__and_hot_substances,127493.0
1993,HIV_AIDS,664463.0
1993,Interpersonal_violence,432858.0
1993,Lower_respiratory_infections,3226972.0
1993,Malaria,862216.0
1993,Maternal_disorders,293564.0
1993,Meningitis,420836.0
1993,Neonatal_disorders,2924485.0
1993,Neoplasms,6167069.0
1993,Nutritional_deficiencies,674219.0
1993,Parkinson_s_disease,160249.0
1993,Poisonings,90036.0
1993,Protein_energy_malnutrition,583919.0
1993,Road_injuries_,1137444.0
1993,Self_harm,791904.0
1993,Tuberculosis,1774711.0
1994,Acute_hepatitis,159423.0
1994,Alcohol_use_disorders,153859.0
1994,Alzheimer_s_disease_and_other_dementias,652176.0
1994,Cardiovascular_diseases,13026289.0
1994,Chronic_kidney_disease,665365.0
1994,Chronic_respiratory_diseases,3297292.0
1994,Cirrhosis_and_other_chronic_liver_diseases,1089331.0
1994,Conflict_and_terrorism,566082.0
1994,Diabetes_mellitus,751254.0
1994,Diarrheal_diseases,2740299.0
1994,Digestive_diseases,1967669.0
1994,Drowning,443350.0
1994,Drug_use_disorders,76717.0
1994,Environmental_heat_and_cold_exposure,72305.0
1994,Exposure_to_forces_of_nature,12717.0
1994,Fire__heat__and_hot_substances,129611.0
1994,HIV_AIDS,800169.0
1994,Interpersonal_violence,441971.0
1994,Lower_respiratory_infections,3187285.0
1994,Malaria,855671.0
1994,Maternal_disorders,293148.0
1994,Meningitis,413799.0
1994,Neonatal_disorders,2896505.0
1994,Neoplasms,6296066.0
1994,Nutritional_deficiencies,649801.0
1994,Parkinson_s_disease,164381.0
1994,Poisonings,90897.0
1994,Protein_energy_malnutrition,564046.0
1994,Road_injuries_,1153642.0
1994,Self_harm,817682.0
1994,Tuberculosis,1753811.0
1995,Acute_hepatitis,157173.0
1995,Alcohol_use_disorders,156714.0
1995,Alzheimer_s_disease_and_other_dementias,674815.0
1995,Cardiovascular_diseases,13129252.0
1995,Chronic_kidney_disease,683701.0
1995,Chronic_respiratory_diseases,3313295.0
1995,Cirrhosis_and_other_chronic_liver_diseases,1104380.0
1995,Conflict_and_terrorism,67210.0
1995,Diabetes_mellitus,773490.0
1995,Diarrheal_diseases,2673263.0
1995,Digestive_diseases,1984263.0
1995,Drowning,437303.0
1995,Drug_use_disorders,79985.0
1995,Environmental_heat_and_cold_exposure,72635.0
1995,Exposure_to_forces_of_nature,19169.0
1995,Fire__heat__and_hot_substances,128523.0
1995,HIV_AIDS,938440.0
1995,Interpersonal_violence,444246.0
1995,Lower_respiratory_infections,3148775.0
1995,Malaria,862626.0
1995,Maternal_disorders,290551.0
1995,Meningitis,409826.0
1995,Neonatal_disorders,2873608.0
1995,Neoplasms,6402881.0
1995,Nutritional_deficiencies,723095.0
1995,Parkinson_s_disease,168882.0
1995,Poisonings,90353.0
1995,Protein_energy_malnutrition,641084.0
1995,Road_injuries_,1162799.0
1995,Self_harm,825922.0
1995,Tuberculosis,1738759.0
1996,Acute_hepatitis,153406.0
1996,Alcohol_use_disorders,156352.0
1996,Alzheimer_s_disease_and_other_dementias,696665.0
1996,Cardiovascular_diseases,13213565.0
1996,Chronic_kidney_disease,704624.0
1996,Chronic_respiratory_diseases,3342591.0
1996,Cirrhosis_and_other_chronic_liver_diseases,1115241.0
1996,Conflict_and_terrorism,87324.0
1996,Diabetes_mellitus,799023.0
1996,Diarrheal_diseases,2615313.0
1996,Digestive_diseases,1995513.0
1996,Drowning,423296.0
1996,Drug_use_disorders,81704.0
1996,Environmental_heat_and_cold_exposure,67602.0
1996,Exposure_to_forces_of_nature,14866.0
1996,Fire__heat__and_hot_substances,126804.0
1996,HIV_AIDS,1061580.0
1996,Interpersonal_violence,432673.0
1996,Lower_respiratory_infections,3091233.0
1996,Malaria,872476.0
1996,Maternal_disorders,287746.0
1996,Meningitis,417259.0
1996,Neonatal_disorders,2841042.0
1996,Neoplasms,6490603.0
1996,Nutritional_deficiencies,671977.0
1996,Parkinson_s_disease,173822.0
1996,Poisonings,88861.0
1996,Protein_energy_malnutrition,593826.0
1996,Road_injuries_,1162809.0
1996,Self_harm,820128.0
1996,Tuberculosis,1720903.0
1997,Acute_hepatitis,151902.0
1997,Alcohol_use_disorders,155429.0
1997,Alzheimer_s_disease_and_other_dementias,717342.0
1997,Cardiovascular_diseases,13339902.0
1997,Chronic_kidney_disease,731048.0
1997,Chronic_respiratory_diseases,3381872.0
1997,Cirrhosis_and_other_chronic_liver_diseases,1128962.0
1997,Conflict_and_terrorism,99263.0
1997,Diabetes_mellitus,827734.0
1997,Diarrheal_diseases,2579027.0
1997,Digestive_diseases,2014659.0
1997,Drowning,413405.0
1997,Drug_use_disorders,82572.0
1997,Environmental_heat_and_cold_exposure,63823.0
1997,Exposure_to_forces_of_nature,17852.0
1997,Fire__heat__and_hot_substances,126274.0
1997,HIV_AIDS,1174154.0
1997,Interpersonal_violence,427316.0
1997,Lower_respiratory_infections,3047670.0
1997,Malaria,892946.0
1997,Maternal_disorders,289467.0
1997,Meningitis,400893.0
1997,Neonatal_disorders,2817527.0
1997,Neoplasms,6586074.0
