,document,element,Frequency
0,1990,HIV_AIDS,-0.0033616386602331443
1,1991,HIV_AIDS,-0.0024000926750690835
2,1992,HIV_AIDS,-0.0015663752459713588
3,1993,HIV_AIDS,-0.0009188617119143525
4,1994,HIV_AIDS,-0.0004650889603030838
5,1995,HIV_AIDS,-0.00015146559703321425
6,1996,HIV_AIDS,-2.316264234167374e-05
7,1997,HIV_AIDS,1.7486336420068224e-06
8,1998,HIV_AIDS,6.337257177253548e-05
9,1999,HIV_AIDS,0.00020266839383096744
10,2000,HIV_AIDS,0.00038412001561047987
11,2001,HIV_AIDS,0.0005757810404576455
12,2002,HIV_AIDS,0.0007327357113572734
13,2003,HIV_AIDS,0.0008714754181114222
14,2004,HIV_AIDS,0.0009436095835455224
15,2005,HIV_AIDS,0.0008883310504816024
16,2006,HIV_AIDS,0.0007399274815046565
17,2007,HIV_AIDS,0.0005091426171806948
18,2008,HIV_AIDS,0.0002697585375321136
19,2009,HIV_AIDS,0.0001333614239436003
20,2010,HIV_AIDS,4.0096426856926206e-05
21,2011,HIV_AIDS,4.581920635944245e-06
22,2012,HIV_AIDS,-7.092388076875803e-06
23,2013,HIV_AIDS,-5.031654569383258e-05
24,2014,HIV_AIDS,-0.00011061859827163952
25,2015,HIV_AIDS,-0.0001877739560935982
26,2016,HIV_AIDS,-0.00026268953205033584
27,2017,HIV_AIDS,-0.0003846578931014895
28,2018,HIV_AIDS,-0.0005621345723316891
29,2019,HIV_AIDS,-0.0006937097624866249
30,1990,Diarrheal_diseases,0.00139438910030218
31,1991,Diarrheal_diseases,0.0013178003156540776
32,1992,Diarrheal_diseases,0.0011666138879579731
33,1993,Diarrheal_diseases,0.0008809537391513116
34,1994,Diarrheal_diseases,0.0006354374388789384
35,1995,Diarrheal_diseases,0.0005143238659748115
36,1996,Diarrheal_diseases,0.0004056768444949221
37,1997,Diarrheal_diseases,0.00032338637531268994
38,1998,Diarrheal_diseases,0.0002501524925032201
39,1999,Diarrheal_diseases,0.00016268705532271506
40,2000,Diarrheal_diseases,9.506897558300177e-05
41,2001,Diarrheal_diseases,4.414212574901932e-05
42,2002,Diarrheal_diseases,9.283561600457774e-06
43,2003,Diarrheal_diseases,-3.154394604848882e-08
44,2004,Diarrheal_diseases,-1.3476613901858715e-05
45,2005,Diarrheal_diseases,-3.3752731252891096e-05
46,2006,Diarrheal_diseases,-3.846594175366193e-05
47,2007,Diarrheal_diseases,-5.934116098980707e-05
48,2008,Diarrheal_diseases,-0.00010206845399530345
49,2009,Diarrheal_diseases,-0.00015862626678448451
50,2010,Diarrheal_diseases,-0.0002417157380202985
51,2011,Diarrheal_diseases,-0.00027726867276272726
52,2012,Diarrheal_diseases,-0.0003966856837724431
53,2013,Diarrheal_diseases,-0.0005065642372872629
54,2014,Diarrheal_diseases,-0.0006663330045162388
55,2015,Diarrheal_diseases,-0.0008292942437265602
56,2016,Diarrheal_diseases,-0.000978296275317445
57,2017,Diarrheal_diseases,-0.0010411960277349483
58,2018,Diarrheal_diseases,-0.001280838657799886
59,2019,Diarrheal_diseases,-0.0015087213555670474
60,1990,Lower_respiratory_infections,0.0009448597403745101
61,1991,Lower_respiratory_infections,0.0007871183760312841
62,1992,Lower_respiratory_infections,0.0006846093426028073
63,1993,Lower_respiratory_infections,0.0005381097002666287
64,1994,Lower_respiratory_infections,0.00037457323251926123
65,1995,Lower_respiratory_infections,0.00032459630610428116
66,1996,Lower_respiratory_infections,0.00024464609180122054
67,1997,Lower_respiratory_infections,0.00017606762221295067
68,1998,Lower_respiratory_infections,0.00011352393531077016
69,1999,Lower_respiratory_infections,5.7475642259351796e-05
70,2000,Lower_respiratory_infections,2.242341321444035e-05
71,2001,Lower_respiratory_infections,2.7478526075189213e-06
72,2002,Lower_respiratory_infections,-8.684895393268604e-07
73,2003,Lower_respiratory_infections,-8.621816557362522e-06
74,2004,Lower_respiratory_infections,-2.6728432485489863e-05
75,2005,Lower_respiratory_infections,-4.0992596823824414e-05
76,2006,Lower_respiratory_infections,-5.255178105632559e-05
77,2007,Lower_respiratory_infections,-7.152957081054973e-05
78,2008,Lower_respiratory_infections,-0.00010390381251159818
79,2009,Lower_respiratory_infections,-0.00012016148174947942
